Technologies,Hours,Availability
wind_ea,27,0.4384375
wind_ne,27,0.509677419
wind_nw,27,0.706
wind_we,27,0.488881119
wind_sw,27,0.218901099
wind_se,27,0.156136364
wind_off,28,0.5096
ror,28,0.506106465
pv_ea,28,0.0
pv_ne,28,0.0
pv_nw,28,0.0
pv_we,28,0.0
pv_sw,28,0.0
pv_se,28,0.0
wind_ea,28,0.4640625
wind_ne,28,0.562903226
wind_nw,28,0.724666667
wind_we,28,0.50041958
wind_sw,28,0.24032967
wind_se,28,0.169772727
wind_off,29,0.4936
ror,29,0.506106465
pv_ea,29,0.0
pv_ne,29,0.0
pv_nw,29,0.0
pv_we,29,0.0
pv_sw,29,0.0
pv_se,29,0.0
wind_ea,29,0.4909375
wind_ne,29,0.625806452
wind_nw,29,0.754
wind_we,29,0.516363636
wind_sw,29,0.264725275
wind_se,29,0.188636364
wind_off,30,0.4956
ror,30,0.506106465
pv_ea,30,0.0
pv_ne,30,0.0
pv_nw,30,0.0
pv_we,30,0.0
pv_sw,30,0.0
pv_se,30,0.0
wind_ea,30,0.5346875
wind_ne,30,0.632580645
wind_nw,30,0.76
wind_we,30,0.549090909
wind_sw,30,0.28989011
wind_se,30,0.212954545
wind_off,31,0.404
ror,31,0.506106465
pv_ea,31,0.0
pv_ne,31,0.0
pv_nw,31,0.0
pv_we,31,0.0
pv_sw,31,0.0
pv_se,31,0.0
wind_ea,31,0.5834375
wind_ne,31,0.67483871
wind_nw,31,0.760266667
wind_we,31,0.55006993
wind_sw,31,0.31978022
wind_se,31,0.232045455
wind_off,32,0.4078
ror,32,0.506106465
pv_ea,32,0.0
pv_ne,32,0.0
pv_nw,32,0.0
pv_we,32,0.0
pv_sw,32,0.0
pv_se,32,0.0
wind_ea,32,0.601875
wind_ne,32,0.677419355
wind_nw,32,0.7508
wind_we,32,0.562517483
wind_sw,32,0.344945055
wind_se,32,0.258863636
wind_off,33,0.4929
ror,33,0.506106465
pv_ea,33,0.0
pv_ne,33,0.0
pv_nw,33,0.0
pv_we,33,0.0
pv_sw,33,0.0
pv_se,33,0.0
wind_ea,33,0.61
wind_ne,33,0.700322581
wind_nw,33,0.719333333
wind_we,33,0.554615385
wind_sw,33,0.36032967
wind_se,33,0.292045455
wind_off,34,0.602
ror,34,0.506106465
pv_ea,34,0.0
pv_ne,34,0.0
pv_nw,34,0.008
pv_we,34,0.0075
pv_sw,34,0.005
pv_se,34,0.01
wind_ea,34,0.62875
wind_ne,34,0.71
wind_nw,34,0.680533333
wind_we,34,0.542027972
wind_sw,34,0.360879121
wind_se,34,0.304318182
wind_off,35,0.6736
ror,35,0.506106465
pv_ea,35,0.01
pv_ne,35,0.01
pv_nw,35,0.028
pv_we,35,0.0175
pv_sw,35,0.0175
pv_se,35,0.02
wind_ea,35,0.620625
wind_ne,35,0.723548387
wind_nw,35,0.667333333
wind_we,35,0.464405594
wind_sw,35,0.363626374
wind_se,35,0.318863636
wind_off,36,0.6927
ror,36,0.506106465
pv_ea,36,0.02
pv_ne,36,0.02
pv_nw,36,0.066
pv_we,36,0.0325
pv_sw,36,0.035
pv_se,36,0.026666667
wind_ea,36,0.5790625
wind_ne,36,0.713225806
wind_nw,36,0.675733333
wind_we,36,0.388951049
wind_sw,36,0.380549451
wind_se,36,0.339090909
wind_off,37,0.6203
ror,37,0.506106465
pv_ea,37,0.04
pv_ne,37,0.04
pv_nw,37,0.092
pv_we,37,0.05
pv_sw,37,0.0475
pv_se,37,0.026666667
wind_ea,37,0.5525
wind_ne,37,0.711935484
wind_nw,37,0.6916
wind_we,37,0.373986014
wind_sw,37,0.381648352
wind_se,37,0.360909091
wind_off,38,0.6538
ror,38,0.506106465
pv_ea,38,0.05
pv_ne,38,0.05
pv_nw,38,0.084
pv_we,38,0.0575
pv_sw,38,0.045
pv_se,38,0.03
wind_ea,38,0.53125
wind_ne,38,0.711290323
wind_nw,38,0.695333333
wind_we,38,0.378601399
wind_sw,38,0.351098901
wind_se,38,0.383636364
wind_off,39,0.6077
ror,39,0.506106465
pv_ea,39,0.04
pv_ne,39,0.04
pv_nw,39,0.058
pv_we,39,0.0525
pv_sw,39,0.035
pv_se,39,0.026666667
wind_ea,39,0.498125
wind_ne,39,0.711290323
wind_nw,39,0.695866667
wind_we,39,0.388461538
wind_sw,39,0.319340659
wind_se,39,0.394545455
wind_off,40,0.6323
ror,40,0.506106465
pv_ea,40,0.01
pv_ne,40,0.01
pv_nw,40,0.018
pv_we,40,0.02
pv_sw,40,0.01
pv_se,40,0.006666667
wind_ea,40,0.4828125
wind_ne,40,0.704516129
wind_nw,40,0.6928
wind_we,40,0.40993007
wind_sw,40,0.289010989
wind_se,40,0.383409091
wind_off,41,0.7009
ror,41,0.506106465
pv_ea,41,0.0
pv_ne,41,0.0
pv_nw,41,0.0
pv_we,41,0.0
pv_sw,41,0.0
pv_se,41,0.0
wind_ea,41,0.5059375
wind_ne,41,0.702580645
wind_nw,41,0.683066667
wind_we,41,0.433146853
wind_sw,41,0.282417582
wind_se,41,0.374090909
wind_off,42,0.7338
ror,42,0.506106465
pv_ea,42,0.0
pv_ne,42,0.0
pv_nw,42,0.0
pv_we,42,0.0
pv_sw,42,0.0
pv_se,42,0.0
wind_ea,42,0.5184375
wind_ne,42,0.702903226
wind_nw,42,0.686666667
wind_we,42,0.424405594
wind_sw,42,0.285714286
wind_se,42,0.386590909
wind_off,43,0.6921
ror,43,0.506106465
pv_ea,43,0.0
pv_ne,43,0.0
pv_nw,43,0.0
pv_we,43,0.0
pv_sw,43,0.0
pv_se,43,0.0
wind_ea,43,0.5253125
wind_ne,43,0.718064516
wind_nw,43,0.6912
wind_we,43,0.416643357
wind_sw,43,0.274945055
wind_se,43,0.364772727
wind_off,44,0.6916
ror,44,0.506106465
pv_ea,44,0.0
pv_ne,44,0.0
pv_nw,44,0.0
pv_we,44,0.0
pv_sw,44,0.0
pv_se,44,0.0
wind_ea,44,0.539375
wind_ne,44,0.727741935
wind_nw,44,0.675866667
wind_we,44,0.402377622
wind_sw,44,0.268791209
wind_se,44,0.348863636
wind_off,45,0.6558
ror,45,0.506106465
pv_ea,45,0.0
pv_ne,45,0.0
pv_nw,45,0.0
pv_we,45,0.0
pv_sw,45,0.0
pv_se,45,0.0
wind_ea,45,0.548125
wind_ne,45,0.728387097
wind_nw,45,0.664266667
wind_we,45,0.38048951
wind_sw,45,0.25010989
wind_se,45,0.3475
wind_off,46,0.6727
ror,46,0.506106465
pv_ea,46,0.0
pv_ne,46,0.0
pv_nw,46,0.0
pv_we,46,0.0
pv_sw,46,0.0
pv_se,46,0.0
wind_ea,46,0.5578125
wind_ne,46,0.729032258
wind_nw,46,0.6624
wind_we,46,0.363006993
wind_sw,46,0.223406593
wind_se,46,0.320909091
wind_off,47,0.6422
ror,47,0.506106465
pv_ea,47,0.0
pv_ne,47,0.0
pv_nw,47,0.0
pv_we,47,0.0
pv_sw,47,0.0
pv_se,47,0.0
wind_ea,47,0.5753125
wind_ne,47,0.726129032
wind_nw,47,0.671466667
wind_we,47,0.365664336
wind_sw,47,0.216813187
wind_se,47,0.301363636
wind_off,48,0.6126
ror,48,0.506106465
pv_ea,48,0.0
pv_ne,48,0.0
pv_nw,48,0.0
pv_we,48,0.0
pv_sw,48,0.0
pv_se,48,0.0
wind_ea,48,0.573125
wind_ne,48,0.733225806
wind_nw,48,0.673466667
wind_we,48,0.36958042
wind_sw,48,0.211208791
wind_se,48,0.301363636
wind_off,49,0.5984
ror,49,0.506106465
pv_ea,49,0.0
pv_ne,49,0.0
pv_nw,49,0.0
pv_we,49,0.0
pv_sw,49,0.0
pv_se,49,0.0
wind_ea,49,0.59
wind_ne,49,0.745483871
wind_nw,49,0.663866667
wind_we,49,0.318671329
wind_sw,49,0.18967033
wind_se,49,0.314318182
wind_off,50,0.6217
ror,50,0.506106465
pv_ea,50,0.0
pv_ne,50,0.0
pv_nw,50,0.0
pv_we,50,0.0
pv_sw,50,0.0
pv_se,50,0.0
wind_ea,50,0.594375
wind_ne,50,0.749354839
wind_nw,50,0.647866667
wind_we,50,0.263426573
wind_sw,50,0.166703297
wind_se,50,0.300454545
wind_off,51,0.6462
ror,51,0.506106465
pv_ea,51,0.0
pv_ne,51,0.0
pv_nw,51,0.0
pv_we,51,0.0
pv_sw,51,0.0
pv_se,51,0.0
wind_ea,51,0.580625
wind_ne,51,0.749354839
wind_nw,51,0.6052
wind_we,51,0.237062937
wind_sw,51,0.144615385
wind_se,51,0.272954545
wind_off,52,0.7109
ror,52,0.506106465
pv_ea,52,0.0
pv_ne,52,0.0
pv_nw,52,0.0
pv_we,52,0.0
pv_sw,52,0.0
pv_se,52,0.0
wind_ea,52,0.53875
wind_ne,52,0.736774194
wind_nw,52,0.542933333
wind_we,52,0.221048951
wind_sw,52,0.13
wind_se,52,0.237045455
wind_off,53,0.7406
ror,53,0.506106465
pv_ea,53,0.0
pv_ne,53,0.0
pv_nw,53,0.0
pv_we,53,0.0
pv_sw,53,0.0
pv_se,53,0.0
wind_ea,53,0.4609375
wind_ne,53,0.701612903
wind_nw,53,0.488666667
wind_we,53,0.223076923
wind_sw,53,0.121868132
wind_se,53,0.206136364
wind_off,54,0.7533
ror,54,0.506106465
pv_ea,54,0.0
pv_ne,54,0.0
pv_nw,54,0.0
pv_we,54,0.0
pv_sw,54,0.0
pv_se,54,0.0
wind_ea,54,0.3746875
wind_ne,54,0.632903226
wind_nw,54,0.458
wind_we,54,0.234125874
wind_sw,54,0.12010989
wind_se,54,0.178863636
wind_off,55,0.7738
ror,55,0.506106465
pv_ea,55,0.0
pv_ne,55,0.0
pv_nw,55,0.0
pv_we,55,0.0
pv_sw,55,0.0
pv_se,55,0.0
wind_ea,55,0.346875
wind_ne,55,0.554193548
wind_nw,55,0.4708
wind_we,55,0.248741259
wind_sw,55,0.125274725
wind_se,55,0.1675
wind_off,56,0.7775
ror,56,0.506106465
pv_ea,56,0.0
pv_ne,56,0.0
pv_nw,56,0.0
pv_we,56,0.0
pv_sw,56,0.0
pv_se,56,0.0
wind_ea,56,0.356875
wind_ne,56,0.540645161
wind_nw,56,0.489866667
wind_we,56,0.268391608
wind_sw,56,0.132527473
wind_se,56,0.161818182
wind_off,57,0.7836
ror,57,0.506106465
pv_ea,57,0.0
pv_ne,57,0.0
pv_nw,57,0.0
pv_we,57,0.0
pv_sw,57,0.0
pv_se,57,0.0
wind_ea,57,0.37375
wind_ne,57,0.553225806
wind_nw,57,0.506933333
wind_we,57,0.296573427
wind_sw,57,0.136373626
wind_se,57,0.155681818
wind_off,58,0.7842
ror,58,0.506106465
pv_ea,58,0.03
pv_ne,58,0.03
pv_nw,58,0.014
pv_we,58,0.01
pv_sw,58,0.01
pv_se,58,0.016666667
wind_ea,58,0.3790625
wind_ne,58,0.56483871
wind_nw,58,0.5136
wind_we,58,0.30041958
wind_sw,58,0.12956044
wind_se,58,0.141590909
wind_off,59,0.7892
ror,59,0.506106465
pv_ea,59,0.06
pv_ne,59,0.06
pv_nw,59,0.026
pv_we,59,0.02
pv_sw,59,0.025
pv_se,59,0.026666667
wind_ea,59,0.3828125
wind_ne,59,0.581612903
wind_nw,59,0.507066667
wind_we,59,0.264195804
wind_sw,59,0.12
wind_se,59,0.129090909
wind_off,60,0.7867
ror,60,0.506106465
pv_ea,60,0.07
pv_ne,60,0.07
pv_nw,60,0.036
pv_we,60,0.03
pv_sw,60,0.035
pv_se,60,0.036666667
wind_ea,60,0.391875
wind_ne,60,0.584193548
wind_nw,60,0.5024
wind_we,60,0.24965035
wind_sw,60,0.116043956
wind_se,60,0.129318182
wind_off,61,0.7894
ror,61,0.506106465
pv_ea,61,0.06
pv_ne,61,0.06
pv_nw,61,0.038
pv_we,61,0.0275
pv_sw,61,0.0275
pv_se,61,0.043333333
wind_ea,61,0.395
wind_ne,61,0.582580645
wind_nw,61,0.510266667
wind_we,61,0.225874126
wind_sw,61,0.114945055
wind_se,61,0.132045455
wind_off,62,0.79
ror,62,0.506106465
pv_ea,62,0.04
pv_ne,62,0.04
pv_nw,62,0.034
pv_we,62,0.02
pv_sw,62,0.02
pv_se,62,0.026666667
wind_ea,62,0.394375
wind_ne,62,0.569677419
wind_nw,62,0.491066667
wind_we,62,0.212307692
wind_sw,62,0.125274725
wind_se,62,0.130454545
wind_off,63,0.7887
ror,63,0.506106465
pv_ea,63,0.02
pv_ne,63,0.02
pv_nw,63,0.018
pv_we,63,0.0125
pv_sw,63,0.0125
pv_se,63,0.01
wind_ea,63,0.3646875
wind_ne,63,0.542580645
wind_nw,63,0.45
wind_we,63,0.175384615
wind_sw,63,0.154065934
wind_se,63,0.126363636
wind_off,64,0.7891
ror,64,0.506106465
pv_ea,64,0.0
pv_ne,64,0.0
pv_nw,64,0.008
pv_we,64,0.01
pv_sw,64,0.005
pv_se,64,0.003333333
wind_ea,64,0.33125
wind_ne,64,0.511935484
wind_nw,64,0.4136
wind_we,64,0.126993007
wind_sw,64,0.185274725
wind_se,64,0.134772727
wind_off,65,0.7896
ror,65,0.506106465
pv_ea,65,0.0
pv_ne,65,0.0
pv_nw,65,0.0
pv_we,65,0.0
pv_sw,65,0.0
pv_se,65,0.0
wind_ea,65,0.32125
wind_ne,65,0.482580645
wind_nw,65,0.383733333
wind_we,65,0.101748252
wind_sw,65,0.220879121
wind_se,65,0.151363636
wind_off,66,0.7896
ror,66,0.506106465
pv_ea,66,0.0
pv_ne,66,0.0
pv_nw,66,0.0
pv_we,66,0.0
pv_sw,66,0.0
pv_se,66,0.0
wind_ea,66,0.31
wind_ne,66,0.450967742
wind_nw,66,0.355733333
wind_we,66,0.074755245
wind_sw,66,0.288131868
wind_se,66,0.182272727
wind_off,67,0.7882
ror,67,0.506106465
pv_ea,67,0.0
pv_ne,67,0.0
pv_nw,67,0.0
pv_we,67,0.0
pv_sw,67,0.0
pv_se,67,0.0
wind_ea,67,0.2903125
wind_ne,67,0.437096774
wind_nw,67,0.3436
wind_we,67,0.051328671
wind_sw,67,0.392967033
wind_se,67,0.227954545
wind_off,68,0.7808
ror,68,0.506106465
pv_ea,68,0.0
pv_ne,68,0.0
pv_nw,68,0.0
pv_we,68,0.0
pv_sw,68,0.0
pv_se,68,0.0
wind_ea,68,0.2859375
wind_ne,68,0.432580645
wind_nw,68,0.349333333
wind_we,68,0.060839161
wind_sw,68,0.484065934
wind_se,68,0.259318182
wind_off,69,0.7616
ror,69,0.506106465
pv_ea,69,0.0
pv_ne,69,0.0
pv_nw,69,0.0
pv_we,69,0.0
pv_sw,69,0.0
pv_se,69,0.0
wind_ea,69,0.2765625
wind_ne,69,0.415806452
wind_nw,69,0.365333333
wind_we,69,0.099090909
wind_sw,69,0.458461538
wind_se,69,0.298409091
wind_off,70,0.7754
ror,70,0.506106465
pv_ea,70,0.0
pv_ne,70,0.0
pv_nw,70,0.0
pv_we,70,0.0
pv_sw,70,0.0
pv_se,70,0.0
wind_ea,70,0.2828125
wind_ne,70,0.411935484
wind_nw,70,0.396
wind_we,70,0.163426573
wind_sw,70,0.413076923
wind_se,70,0.332727273
wind_off,71,0.7786
ror,71,0.506106465
pv_ea,71,0.0
pv_ne,71,0.0
pv_nw,71,0.0
pv_we,71,0.0
pv_sw,71,0.0
pv_se,71,0.0
wind_ea,71,0.2975
wind_ne,71,0.419677419
wind_nw,71,0.406533333
wind_we,71,0.222657343
wind_sw,71,0.354835165
wind_se,71,0.335454545
wind_off,72,0.6989
ror,72,0.506106465
pv_ea,72,0.0
pv_ne,72,0.0
pv_nw,72,0.0
pv_we,72,0.0
pv_sw,72,0.0
pv_se,72,0.0
wind_ea,72,0.3534375
wind_ne,72,0.436451613
wind_nw,72,0.412533333
wind_we,72,0.252307692
wind_sw,72,0.288461538
wind_se,72,0.326590909
wind_off,73,0.6724
ror,73,0.506106465
pv_ea,73,0.0
pv_ne,73,0.0
pv_nw,73,0.0
pv_we,73,0.0
pv_sw,73,0.0
pv_se,73,0.0
wind_ea,73,0.4015625
wind_ne,73,0.442903226
wind_nw,73,0.421333333
wind_we,73,0.289090909
wind_sw,73,0.227032967
wind_se,73,0.309318182
wind_off,74,0.6147
ror,74,0.506106465
pv_ea,74,0.0
pv_ne,74,0.0
pv_nw,74,0.0
pv_we,74,0.0
pv_sw,74,0.0
pv_se,74,0.0
wind_ea,74,0.4
wind_ne,74,0.456774194
wind_nw,74,0.438933333
wind_we,74,0.31
wind_sw,74,0.194285714
wind_se,74,0.270909091
wind_off,75,0.6931
ror,75,0.506106465
pv_ea,75,0.0
pv_ne,75,0.0
pv_nw,75,0.0
pv_we,75,0.0
pv_sw,75,0.0
pv_se,75,0.0
wind_ea,75,0.4175
wind_ne,75,0.487741935
wind_nw,75,0.4356
wind_we,75,0.318601399
wind_sw,75,0.170549451
wind_se,75,0.2475
wind_off,76,0.6744
ror,76,0.506106465
pv_ea,76,0.0
pv_ne,76,0.0
pv_nw,76,0.0
pv_we,76,0.0
pv_sw,76,0.0
pv_se,76,0.0
wind_ea,76,0.4571875
wind_ne,76,0.513225806
wind_nw,76,0.414266667
wind_we,76,0.308811189
wind_sw,76,0.149010989
wind_se,76,0.262045455
wind_off,77,0.6217
ror,77,0.506106465
pv_ea,77,0.0
pv_ne,77,0.0
pv_nw,77,0.0
pv_we,77,0.0
pv_sw,77,0.0
pv_se,77,0.0
wind_ea,77,0.4671875
wind_ne,77,0.503225806
wind_nw,77,0.404666667
wind_we,77,0.296503497
wind_sw,77,0.136703297
wind_se,77,0.260909091
wind_off,78,0.651
ror,78,0.506106465
pv_ea,78,0.0
pv_ne,78,0.0
pv_nw,78,0.0
pv_we,78,0.0
pv_sw,78,0.0
pv_se,78,0.0
wind_ea,78,0.4734375
wind_ne,78,0.49
wind_nw,78,0.394
wind_we,78,0.280699301
wind_sw,78,0.131428571
wind_se,78,0.2575
wind_off,79,0.6493
ror,79,0.506106465
pv_ea,79,0.0
pv_ne,79,0.0
pv_nw,79,0.0
pv_we,79,0.0
pv_sw,79,0.0
pv_se,79,0.0
wind_ea,79,0.4603125
wind_ne,79,0.47483871
wind_nw,79,0.3892
wind_we,79,0.290559441
wind_sw,79,0.126923077
wind_se,79,0.248863636
wind_off,80,0.689
ror,80,0.506106465
pv_ea,80,0.0
pv_ne,80,0.0
pv_nw,80,0.0
pv_we,80,0.0
pv_sw,80,0.0
pv_se,80,0.0
wind_ea,80,0.4434375
wind_ne,80,0.465806452
wind_nw,80,0.388
wind_we,80,0.288181818
wind_sw,80,0.12967033
wind_se,80,0.249090909
wind_off,81,0.7263
ror,81,0.506106465
pv_ea,81,0.0
